ROM DataFile Version : 1.1
ALJUR .COD¬aljur¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file ALJUR .COD inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Chess07¬chess07¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Chess07 inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Chess1¬chess1¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Chess1 inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Chess2¬chess2¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Chess2 inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Chess3¬chess3¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Chess3 inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Chess4¬chess4¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Chess4 inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
CIRCLER¬circler¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file CIRCLER inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Columns¬columns¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Columns inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Columns2¬columns2¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Columns2 inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Comic¬comic¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Comic inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
COSMIC¬cosmic¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file COSMIC inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Cosmic_b¬cosmicb¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Cosmic_b inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Courier¬courier¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Courier inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
covox¬covox¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file covox inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Crack¬crack¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Crack inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Dama¬dama¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Dama inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Demsl¬demsl¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Demsl inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Demsl1¬demsl1¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Demsl1 inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Demsl2¬demsl2¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Demsl2 inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Demsl3¬demsl3¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Demsl3 inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Desan¬desan¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Desan inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Desandoc¬desandoc¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Desandoc inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Desant¬desant¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Desant inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Diamond¬diamond¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Diamond inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Digger¬digger¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Digger inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Divers3¬divers3¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Divers3 inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
DRAGON.BIN¬dragon¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file DRAGON.BIN inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
FLIER¬flier¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file FLIER inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
FONT¬font¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file FONT inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
HOBBIT.OVL¬hobbitovl¬hobbit¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file HOBBIT.OVL inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
HOBBIT¬hobbit¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file HOBBIT inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Horror¬horror¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Horror inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Horror_s¬horrors¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Horror_s inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
House1¬house1¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file House1 inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
House2¬house2¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file House2 inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Indjon¬indjon¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Indjon inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Jetman¬jetman¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Jetman inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Joebla¬joebla¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Joebla inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
John¬john¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file John inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Johnny¬johnny¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Johnny inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Jokey¬jokey¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Jokey inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Jones¬jones¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Jones inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Jones1¬jones1¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Jones1 inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Jones2¬jones2¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Jones2 inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Jones3¬jones3¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Jones3 inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Jungle¬jungle¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Jungle inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Karado¬karado¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Karado inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Karate¬karate¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Karate inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Klad¬klad¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Klad inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Kurier¬kurier¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Kurier inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
ladder.ovl¬ladderovl¬ladder¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file ladder.ovl inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
ladder¬ladder¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file ladder inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
LRUNNER.GMS¬lrunnergms¬lrunner¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file LRUNNER.GMS inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
LRUNNER¬lrunner¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file LRUNNER inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
OTHELLO¬othello¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file OTHELLO inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
