ROM DataFile Version : 1.1
LRUNNER¬lrunner¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MANAGER¬manager¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MARS¬mars¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MARS2¬mars2¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MUSIC¬music¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
NARDY¬nardy¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
NARDY2¬nardy2¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
OCHKO¬ochko¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PACMAN¬pacman¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PACMAN2¬pacman2¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PACMAN3¬pacman3¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PAKET¬paket¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PANGO¬pango¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PATROL¬patrol¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PENTAX¬pentax¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PEREGON¬peregon¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PEREGON2¬peregon2¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PILOT¬pilot¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PITON1¬piton1¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PITON2¬piton2¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PITON3¬piton3¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PITON4¬piton4¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
POGONYA¬pogonya¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
POOL¬pool¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
