ROM DataFile Version : 1.1
PAUK$¬pauk¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PINGVIN$¬pingvin¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PITON$¬piton¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
POKER$¬poker¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
POOL$¬pool¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
RACES$¬races¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
RALLY$¬rally¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
RANGER$¬ranger¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
REVERSI$¬reversi¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
RICOS$¬ricos¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SABOTER$¬saboter¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SCDL$¬scdl¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SHAR$¬shar¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SHASHKI$¬shashki¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SOKOBAN$¬sokoban¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SPEAKER$¬speaker¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SPKING$¬spking¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
STARWAR$¬starwar¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
STRIKER$¬striker¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SYNT$¬synt¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
TENNIS$¬tennis¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
TETRIS$¬tetris¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
TETRIS2$¬tetris2¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
