ROM DataFile Version : 1.1
SPKING$¬spking¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
STARWAR$¬starwar¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
STRIKER$¬striker¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SYNT$¬synt¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
TENNIS$¬tennis¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
TETRIS$¬tetris¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
TETRIS2$¬tetris2¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
TETRIS3$¬tetris3¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
THRUSTA$¬thrusta¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
TUTAN$¬tutan¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
UDAV$¬udav¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
US_07_9$¬us079¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
VALLEY$¬valley¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
VAVILON$¬vavilon¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
VITAMIN$¬vitamin¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
WAR$¬war¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
XONIX$¬xonix¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ZOO$¬zoo¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ZOO2$¬zoo2¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
