ROM DataFile Version : 1.1
Acquire¬acquire¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Microcomputer Games¬1982¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Pronouns 1¬eapro1n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Pronouns 2¬eapro2n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Pronouns 3¬eapro3n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Pronouns 4¬eapro4n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Scrambled Letters¬eascrln¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Synonyms 1¬easyn1n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Synonyms 2¬easyn2n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Synonyms 3¬easyn3n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Synonyms 4¬easyn4n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Verbs 1¬eaver1n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Verbs 2¬eaver2n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Verbs 3¬eaver3n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Verbs 4¬eaver4n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
GALAXY!¬galaxy¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Microcomputer Games¬1982¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Galaxy Games¬galxyg¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Commodore Business Machines, Inc.¬1978¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
The Guns of Fort Defiance¬gunsfd¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Commodore Business Machines, Inc.¬1981¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Microchess 2.0¬mchess2¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Micro-ware¬1978¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Midway Campaign¬midway¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Microcomputer Games¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
North Atlantic Convoy Raider¬nacr¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Microcomputer Games¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Osero / Reverse¬oserev¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Commodore Business Machines, Inc.¬1978¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PET Checkers¬checkers¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬CMS Software Systems¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
The Planet Miners¬planet¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Microcomputer Games¬1979¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Santa Paravia and Fiumaccio¬santap¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Folklife Terminal Club¬1978¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Space Fight¬spacef¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Commodore Business Machines, Inc.¬1978¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Tanktics¬tankt¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Microcomputer Games¬1981¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Target Pong/Off-The-Wall¬targoff¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Commodore Business Machines, Inc.¬1978¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Telengard¬telng¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Microcomputer Games¬1982¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Temple of Apshai¬apshai¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Automated Simulations¬1979¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
A Treasure Trove of Games¬ttgames¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Commodore Business Machines, Inc.¬1978¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
