ROM DataFile Version : 1.1
BASIC_RK¬basicrk¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BASICMUS¬basicmus¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BASICPC¬basicpc¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BASICSER¬basicser¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BASMIC¬basmic¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BASMIKR¬basmikr¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BS_M_OLD¬bsmold¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BS_PSF¬bspsf¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BS_SVVI¬bssvvi¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
C¬c¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
CONSTMAG¬constmag¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
CPM¬cpm¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
DEBUG¬debug¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
DSSM-CPM¬dssmcpm¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
DUMPED¬dumped¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ED-DSSM¬eddssm¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ED-DSSM2¬eddssm2¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ED-SORT¬edsort¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
EDMASM¬edmasm¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
FORTH¬forth¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
FULLEDIT¬fulledit¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
HEXEDIT1¬hexedit1¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
HEXEDIT2¬hexedit2¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LINKRK¬linkrk¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MORSE16¬morse16¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MUSIC¬music¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MUZ_SYST¬muzsyst¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MUZUKRED¬muzukred¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PASCAL¬pascal¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PROGR1¬progr1¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PROGR2¬progr2¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PROGR3¬progr3¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
REDASM¬redasm¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SP_COMP¬spcomp¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
WEL¬wel¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
