ROM DataFile Version : 1.1
Acquire¬acquire¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Microcomputer Games¬1982¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Contractions 4¬eacon4n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Flash Spelling¬eaflasn¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Homonyms 1¬eahom1n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Homonyms 2¬eahom2n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Homonyms 3¬eahom3n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Homonyms 4¬eahom4n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Nouns 1¬eanou1n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Nouns 2¬eanou2n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Nouns 3¬eanou3n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Nouns 4¬eanou4n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Pronouns 1¬eapro1n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Pronouns 2¬eapro2n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Pronouns 3¬eapro3n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Pronouns 4¬eapro4n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Scrambled Letters¬eascrln¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Synonyms 1¬easyn1n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Synonyms 2¬easyn2n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Synonyms 3¬easyn3n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Synonyms 4¬easyn4n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Verbs 1¬eaver1n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Verbs 2¬eaver2n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Verbs 3¬eaver3n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Verbs 4¬eaver4n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
GALAXY!¬galaxy¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Microcomputer Games¬1982¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Galaxy Games¬galxyg¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Commodore Business Machines, Inc.¬1978¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
The Guns of Fort Defiance¬gunsfd¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Commodore Business Machines, Inc.¬1981¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Microchess 2.0¬mchess2¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Micro-ware¬1978¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Midway Campaign¬midway¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Microcomputer Games¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
North Atlantic Convoy Raider¬nacr¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Microcomputer Games¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Osero / Reverse¬oserev¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Commodore Business Machines, Inc.¬1978¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PET Checkers¬checkers¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬CMS Software Systems¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
The Planet Miners¬planet¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Microcomputer Games¬1979¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Santa Paravia and Fiumaccio¬santap¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Folklife Terminal Club¬1978¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Space Fight¬spacef¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Commodore Business Machines, Inc.¬1978¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Tanktics¬tankt¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Microcomputer Games¬1981¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Target Pong/Off-The-Wall¬targoff¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Commodore Business Machines, Inc.¬1978¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Telengard¬telng¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Microcomputer Games¬1982¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Temple of Apshai¬apshai¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Automated Simulations¬1979¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
A Treasure Trove of Games¬ttgames¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Commodore Business Machines, Inc.¬1978¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
