ROM DataFile Version : 1.1
TOCHKI¬tochki¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
UDAW¬udaw¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
UTKA¬utka¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
VOLCANO¬volcano¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
XONIX-S¬xonixs¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
XONIX¬xonix¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
XONIX1¬xonix1¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
XONIXZM¬xonixzm¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Z-STATIO¬zstatio¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ZAGIB¬zagib¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ZMEI¬zmei¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ASM_ED¬asmed¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ASSM_MIC¬assmmic¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
